lineup,team,opponent,month,dayofmonth,minutes,points
G. Antetokounmpo | J. Bayless | J. Henson | E. Ilyasova | K. Middleton,MIL,UTA,2,28,1.6,90.0
M. Carter-Williams | J. Dudley | C. Johnson | K. Middleton | M. Plumlee,MIL,IND,3,12,2.1,68.5714285714
G. Antetokounmpo | J. Henson | C. Johnson | K. Middleton | M. Plumlee,MIL,MEM,3,14,4.1,35.1219512195
G. Antetokounmpo | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,MIN,1,9,3.5,41.1428571429
G. Antetokounmpo | J. Dudley | B. Knight | O. Mayo | L. Sanders,MIL,DAL,12,7,1.9,75.7894736842
J. Bayless | J. Dudley | O. Mayo | K. Middleton | Z. Pachulia,MIL,DET,1,24,1.5,96.0
G. Antetokounmpo | E. Ilyasova | B. Knight | O. Mayo | K. Middleton,MIL,TOR,1,19,3.6,40.0
G. Antetokounmpo | J. Dudley | B. Knight | J. Parker | L. Sanders,MIL,MIA,11,16,7.0,20.5714285714
J. Bayless | J. Dudley | K. Marshall | O. Mayo | Z. Pachulia,MIL,NYK,1,4,7.5,19.2
G. Antetokounmpo | T. Ennis | J. Henson | E. Ilyasova | C. Johnson,MIL,IND,3,12,4.1,35.1219512195
J. Bayless | M. Carter-Williams | J. Dudley | J. Henson | K. Middleton,MIL,ORL,4,4,1.4,102.857142857
J. Bayless | J. Dudley | J. Henson | B. Knight | K. Middleton,MIL,LAL,2,4,1.1,130.909090909
G. Antetokounmpo | J. Bayless | B. Knight | K. Middleton | Z. Pachulia,MIL,ATL,12,27,1.4,102.857142857
J. Dudley | J. Henson | E. Ilyasova | K. Marshall | N. Wolters,MIL,TOR,11,21,12.0,12.0
J. Dudley | T. Ennis | O. Mayo | K. Middleton | M. Plumlee,MIL,BRK,4,12,1.5,96.0
G. Antetokounmpo | M. Carter-Williams | K. Middleton | Z. Pachulia | M. Plumlee,MIL,MIA,3,24,3.7,38.9189189189
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,PHI,4,13,12.4,11.6129032258
G. Antetokounmpo | T. Ennis | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,CLE,3,22,3.1,46.4516129032
G. Antetokounmpo | J. Dudley | B. Knight | O. Mayo | Z. Pachulia,MIL,ORL,11,14,2.6,55.3846153846
G. Antetokounmpo | J. Bayless | J. Dudley | T. Ennis | J. Henson,MIL,PHI,2,25,8.8,16.3636363636
G. Antetokounmpo | J. Dudley | B. Knight | O. Mayo | Z. Pachulia,MIL,LAC,12,20,2.2,65.4545454545
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | O. Mayo | Z. Pachulia,MIL,ORL,3,11,0.4,360.0
J. Bayless | E. Ilyasova | O. Mayo | Z. Pachulia | N. Wolters,MIL,MIA,11,16,6.0,24.0
J. Dudley | B. Knight | O. Mayo | K. Middleton | Z. Pachulia,MIL,MEM,11,8,0.1,1440.0
G. Antetokounmpo | J. Bayless | J. Dudley | O. Mayo | K. Middleton,MIL,SAC,12,18,4.1,35.1219512195
