lineup,team,opponent,month,dayofmonth,minutes,avg_pm,points,pred
O. Asik | D. Cunningham | A. Davis | T. Evans | E. Gordon,NOP,MIN,3,29,4.8,6.1935483871,50.0,21.0643400183
K. Irving | T. Mozgov | I. Shumpert | J. Smith | T. Thompson,CLE,MIA,3,16,1.4,-27.8260869565,0.0,-19.7473912967
T. Ariza | P. Beverley | J. Dorsey | J. Harden | D. Motiejunas,HOU,PHO,3,21,10.0,-3.77952755901,38.4,36.5531347838
T. Hansbrough | J. Johnson | P. Patterson | G. Vasquez | L. Williams,TOR,CHA,3,6,5.2,8.27586206896,-18.4615384615,-35.211024878
T. Allen | M. Conley | M. Gasol | C. Lee | Z. Randolph,MEM,HOU,3,4,2.1,-17.1223513328,0.0,-2.08559381632
B. Beal | M. Gortat | N. Hilario | P. Pierce | J. Wall,WAS,ATL,4,12,12.5,-12.5659252466,26.88,28.8874991398
C. Frye | A. Gordon | V. Oladipo | E. Payton | N. Vucevic,ORL,IND,3,10,1.8,16.7441860465,0.0,-3.03464225544
H. Barnes | S. Curry | F. Ezeli | D. Green | K. Thompson,GSW,DAL,4,4,3.0,53.3333333333,64.0,58.9628302083
K. Irving | L. James | K. Love | T. Mozgov | J. Smith,CLE,DET,4,13,6.5,25.945945946,96.0,36.8001295965
T. Hansbrough | P. Patterson | T. Ross | G. Vasquez | L. Williams,TOR,PHI,3,2,9.6,101.052631579,-10.0,9.59156571176
B. Diaw | T. Duncan | M. Ginobili | K. Leonard | T. Parker,SAS,CLE,3,12,3.6,5.1063829788,0.0,2.30525827368
L. Barbosa | S. Curry | A. Iguodala | D. Lee | M. Speights,GSW,WAS,3,23,1.4,139.35483871,-34.2857142857,30.1071917826
H. Barnes | A. Bogut | S. Curry | D. Green | K. Thompson,GSW,BKN,3,2,12.1,24.6153846153,-7.93388429752,-20.1297997905
H. Barnes | S. Curry | F. Ezeli | A. Iguodala | K. Thompson,GSW,DAL,4,4,1.4,64.0,102.857142857,50.7760533929
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,DEN,4,4,17.9,6.41474654374,40.2234636872,29.0496041479
