lineup,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
B. Biyombo | G. Henderson | J. Taylor | K. Walker | M. Williams,CHA,11,3,8,0.273,118.0,82.6,100.8,-18.2,0.474,1.2,13.0,0.168,0.755,0.435,0.135,0.415,0.435,91.57,0.349
K. Caldwell-Pope | A. Drummond | B. Jennings | G. Monroe | J. Smith,DET,12,4,8,0.333,118.0,98.2,105.3,-7.1,0.459,1.05,12.9,0.336,0.78,0.539,0.165,0.455,0.484,90.89,0.403
A. Johnson | J. Johnson | K. Lowry | T. Ross | J. Valanciunas,TOR,15,8,7,0.533,118.0,109.7,105.7,4.1,0.529,1.93,16.6,0.351,0.682,0.529,0.121,0.491,0.524,94.71,0.537
C. Butler | K. Caldwell-Pope | A. Drummond | R. Jackson | G. Monroe,DET,9,3,6,0.333,117.0,104.8,110.0,-5.2,0.535,1.74,16.9,0.324,0.758,0.531,0.135,0.502,0.515,94.51,0.464
E. Davis | W. Ellington | J. Hill | W. Johnson | J. Lin,LAL,11,2,9,0.182,117.0,102.9,99.3,3.6,0.544,1.6,17.6,0.26,0.81,0.556,0.148,0.517,0.535,96.29,0.542
G. Henderson | A. Jefferson | M. Kidd-Gilchrist | K. Walker | C. Zeller,CHA,13,6,7,0.462,117.0,104.0,102.1,1.9,0.656,2.35,18.4,0.313,0.813,0.521,0.111,0.447,0.501,96.42,0.505
G. Henderson | A. Jefferson | M. Kidd-Gilchrist | M. Williams | M. Williams,CHA,12,5,7,0.417,117.0,112.6,93.3,19.3,0.641,3.0,21.2,0.153,0.876,0.527,0.096,0.552,0.581,94.14,0.62
L. Fields | A. Johnson | K. Lowry | T. Ross | J. Valanciunas,TOR,9,5,4,0.556,116.0,99.5,108.0,-8.5,0.638,1.67,19.3,0.214,0.76,0.495,0.157,0.507,0.532,95.22,0.464
G. Henderson | A. Jefferson | M. Kidd-Gilchrist | K. Walker | M. Williams,CHA,16,8,8,0.5,116.0,98.0,95.9,2.1,0.515,1.63,16.6,0.183,0.867,0.526,0.132,0.491,0.518,99.38,0.503
S. Adams | S. Ibaka | R. Jackson | J. Lamb | L. Thomas,OKC,8,2,6,0.25,115.0,97.7,104.2,-6.5,0.524,1.34,14.9,0.248,0.735,0.483,0.146,0.461,0.5,91.49,0.436
T. Black | J. Clarkson | W. Johnson | R. Kelly | J. Lin,LAL,7,1,6,0.143,114.0,112.7,115.3,-2.6,0.559,2.17,17.5,0.265,0.816,0.519,0.11,0.52,0.556,91.61,0.464
